0.0194 36.28 -3.21167E-4 3.15062E-4
0.0194 36.77 -3.21128E-4 3.14934E-4
0.0194 37.26 -3.2109E-4 3.14808E-4
0.0194 37.75 -3.21052E-4 3.14684E-4
0.0194 38.24 -3.21014E-4 3.14561E-4
0.0194 38.73 -3.20977E-4 3.1444E-4
0.0194 39.22 -3.20941E-4 3.14321E-4
0.0194 39.71 -3.20905E-4 3.14203E-4
0.0194 40.2 -3.2087E-4 3.14089E-4
0.0194 40.69 -3.20835E-4 3.1398E-4
0.0194 41.18 -3.20802E-4 3.13874E-4
0.0194 41.67 -3.20768E-4 3.13769E-4
0.0194 42.16 -3.20735E-4 3.13664E-4
0.0194 42.65 -3.20703E-4 3.13561E-4
0.0194 43.14 -3.20671E-4 3.1346E-4
0.0194 43.63 -3.20639E-4 3.13359E-4
0.0194 44.12 -3.20607E-4 3.13259E-4
0.0194 44.61 -3.20576E-4 3.13161E-4
0.0194 45.1 -3.20545E-4 3.13064E-4
0.0194 45.59 -3.20515E-4 3.12967E-4
0.0194 46.08 -3.20485E-4 3.12872E-4
0.0194 46.57 -3.20455E-4 3.12778E-4
0.0194 47.06 -3.20425E-4 3.12684E-4
0.0194 47.55 -3.20396E-4 3.12592E-4
0.0194 48.04 -3.20367E-4 3.12501E-4
0.0194 48.53 -3.20339E-4 3.1241E-4
0.0194 49.02 -3.2031E-4 3.12321E-4
0.0194 49.51 -3.20282E-4 3.12232E-4
0.0288 1. -7.6072E-4 7.49296E-4
0.0288 1.49 -7.57304E-4 7.33354E-4
0.0288 1.98 -7.54754E-4 7.22113E-4
0.0288 2.47 -7.52848E-4 7.14289E-4
0.0288 2.96 -7.51338E-4 7.08416E-4
0.0288 3.45 -7.50043E-4 7.03453E-4
0.0288 3.94 -7.48932E-4 6.99312E-4
0.0288 4.43 -7.47956E-4 6.95761E-4
0.0288 4.92 -7.47087E-4 6.92658E-4
0.0288 5.41 -7.46304E-4 6.89898E-4
0.0288 5.9 -7.45586E-4 6.87342E-4
0.0288 6.39 -7.44929E-4 6.8504E-4
0.0288 6.88 -7.44331E-4 6.83034E-4
0.0288 7.37 -7.43776E-4 6.81205E-4
0.0288 7.86 -7.43257E-4 6.79483E-4
0.0288 8.35 -7.42769E-4 6.77866E-4
0.0288 8.84 -7.42309E-4 6.7634E-4
